route_link,route_name,start_location,end_location,bus_name,bus_type,standardized_ac_type,standardized_seat_type,departure_time,duration,reaching_time,bus_rating,price,seat_availability
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3515,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,13:00,08:00,21:00,2.0,469.0,24
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3823,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,13:00,06:45,19:45,3.7,469.0,4
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35117,INDRA(A.C. Seater),A/C,Seater,13:00,06:09,19:09,3.4,567.0,15
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,14:00,06:35,20:35,2.7,436.0,32
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3571,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),A/C,Other,14:00,06:04,20:04,3.9,720.0,25
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3583,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),A/C,Other,14:30,06:00,20:30,3.9,720.0,25
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3549,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,14:30,06:30,21:00,4.7,436.0,33
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3825,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,14:30,06:30,21:00,2.8,469.0,28
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3886,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),A/C,Other,15:00,05:00,20:00,3.9,670.0,32
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3525,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,15:00,08:00,23:00,4.2,469.0,26
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35061,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,15:15,08:00,23:15,4.0,469.0,31
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3573,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),A/C,Other,15:30,05:55,21:25,3.9,720.0,28
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35271,INDRA(A.C. Seater),A/C,Seater,16:00,05:50,21:50,3.3,567.0,23
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3585,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),A/C,Other,16:30,05:55,22:25,4.3,720.0,22
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35133,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),A/C,Other,17:00,05:50,22:50,3.4,720.0,45
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 24251,INDRA(A.C. Seater),A/C,Seater,17:00,04:55,21:55,2.6,528.0,16
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35135,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),A/C,Other,17:45,05:52,23:37,4.3,720.0,40
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35085,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),A/C,Other,18:30,06:00,00:30,3.8,720.0,44
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,19:00,07:42,02:42,3.3,469.0,27
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 23507,INDRA(A.C. Seater),A/C,Seater,19:00,04:00,23:00,3.1,528.0,38
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 9316,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,20:20,07:50,04:10,4.2,469.0,16
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35189,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),A/C,Other,20:30,04:35,01:05,4.0,670.0,32
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 4046,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,21:00,06:40,03:40,4.2,469.0,13
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 9651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,21:00,07:41,04:41,4.6,469.0,13
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 9654,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,21:40,07:40,05:20,2.9,469.0,9
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 40568,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,21:42,08:18,06:00,4.1,469.0,16
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35179,VENNELA (A.C. SLEEPER),A/C,Sleeper,21:45,04:35,02:20,4.7,781.0,1
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3916,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,21:45,05:05,02:50,4.2,469.0,18
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 38201,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,21:52,06:08,04:00,4.7,469.0,5
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 4048,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:00,06:20,04:20,4.3,469.0,13
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 4320,INDRA(A.C. Seater),A/C,Seater,22:00,06:25,04:25,3.7,567.0,11
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35155,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),A/C,Other,22:00,05:42,03:42,4.0,720.0,36
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3908,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:00,06:25,04:25,4.0,469.0,13
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3970,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:05,07:15,05:20,4.0,469.0,6
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 4792,INDRA(A.C. Seater),A/C,Seater,22:05,07:05,05:10,3.6,567.0,16
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35118,INDRA(A.C. Seater),A/C,Seater,22:05,06:45,04:50,3.9,567.0,25
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35265,VENNELA (A.C. SLEEPER),A/C,Sleeper,22:15,04:35,02:50,4.2,781.0,11
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3575,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),A/C,Other,22:15,06:25,04:40,3.7,720.0,25
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 9934,STAR LINER(NON-AC SLEEPER 2+1),Non A/C,Sleeper,22:15,07:15,05:30,3.8,607.0,4
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3635,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:20,06:35,04:55,4.1,469.0,9
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3943,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:25,07:00,05:25,4.1,469.0,4
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 35063,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:25,07:45,06:10,3.4,469.0,16
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3633,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),A/C,Other,22:30,05:40,04:10,4.0,720.0,15
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3696,STAR LINER(NON-AC SLEEPER 2+1),Non A/C,Sleeper,22:30,05:55,04:25,4.3,607.0,4
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3910,INDRA(A.C. Seater),A/C,Seater,22:30,04:35,03:05,3.6,567.0,31
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 95660,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:40,06:35,05:15,2.2,446.0,3
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3838,VENNELA (A.C. SLEEPER),A/C,Sleeper,22:45,05:35,04:20,3.6,839.0,7
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 4350,STAR LINER(NON-AC SLEEPER 2+1),Non A/C,Sleeper,22:45,05:31,04:16,4.2,607.0,3
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3609,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:46,07:54,06:40,4.3,469.0,17
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3968,INDRA(A.C. Seater),A/C,Seater,22:55,06:10,05:05,2.6,567.0,4
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3692,NIGHT RIDER (SEATER CUM SLEEPER),Other,Seater,22:55,06:40,05:35,4.1,639.0,4
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3961,INDRA(A.C. Seater),A/C,Seater,22:55,06:30,05:25,3.6,567.0,6
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3694,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,22:55,07:20,06:15,4.5,469.0,2
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3569,INDRA(A.C. Seater),A/C,Seater,23:00,04:46,03:46,4.2,567.0,32
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 4893,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",Non A/C,Seater,23:00,06:20,05:20,4.1,469.0,9
https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Vijayawada to Hyderabad,Vijayawada,Hyderabad,APSRTC - 3888,VENNELA (A.C. SLEEPER),A/C,Sleeper,23:00,04:35,03:35,4.3,781.0,12
